# Image Classification Dataset - Statistics
# Author: Molla Samser | Email: help@rskworld.in | Website: https://rskworld.in
# © 2025 RSK World. All rights reserved.

category,train_count,validation_count,test_count,total,percentage
animals,1050,225,225,1500,15.0
vehicles,840,180,180,1200,12.0
nature,700,150,150,1000,10.0
food,560,120,120,800,8.0
buildings,630,135,135,900,9.0
fashion,490,105,105,700,7.0
aircraft,420,90,90,600,6.0
sports,560,120,120,800,8.0
instruments,350,75,75,500,5.0
electronics,490,105,105,700,7.0
furniture,420,90,90,600,6.0
plants,490,105,105,700,7.0
people,350,75,75,500,5.0
art,280,60,60,400,4.0
tools,280,60,60,400,4.0
TOTAL,7000,1500,1500,10000,100.0

